Anjun,6049,102.22,8767.24,35559638700,7524801,158438
chareee,1309817,42.36,250.637,133102577,132014,1823
mochul,232147,96.57,2727.12,2528739684,709655,9124
a sushi roll,33921,101.14,6079.66,28153654534,5601781,77067
chocomint,28,105.33,17926.4,81693468377,5070550,57459
suzuki_poke,421971,82.2,1623.28,765252793,392415,6656
StupidGenius,263338,93.4,2487.28,803031075,581836,10022
Asmrrobinstefan,670323,60.71,886.467,221117202,170600,2923
papitojoseez,4502149,1.51,0.250286,15512,93,1
yuki25082003,1632271,28.1,145.504,47565657,35114,482
YaksNaks,1896744,3.88,0.25,215752,164,2
Ral-Kun,543790,61.64,1195.2,557883073,311200,6988
dimonster8998,2598482,24.52,22.0103,2477610,27645,520
iiinsxne,2757281,22.73,15.1579,4890502,50924,1053
Aesthetlc,4453171,2.43,0.250902,19166,465,5
ShabaDooo,808239,77.7,652.7,660939131,507568,6729
DaCRAZYSMILES01,2626789,16.16,20.6212,4051396,11209,200
Grxpes,1434532,29.06,202.792,61288833,42238,629
